fips,year,n_plans,bid_mean_unweighted,w_sum,wx_sum,bid_mean_weighted,hhi,market_type
06067,2018,318,744.2542767295597,124604.0,97651646.27,783.6959188308562,0.131834899952984,competitive
06069,2018,149,801.7764429530201,564.0,360293.20999999996,638.8177482269502,0.3769176600774609,uncompetitive
06071,2018,447,697.6431767337807,158107.83333333334,95820743.58166666,606.0467818798772,0.0821885489786504,competitive
06073,2018,522,710.8352107279693,234119.33333333334,154990958.64,662.0169143371328,0.0984589102703567,competitive
06075,2018,251,754.5935059760956,58245.0,44791963.69,769.0267609236844,0.1229816492782818,competitive
06077,2018,257,757.4017898832685,42714.83333333333,30326729.815,709.9812277936237,0.1391394822726068,competitive
06079,2018,191,773.1523560209424,8985.0,5523218.22,614.7154390651085,0.187534358363528,middle
06081,2018,244,762.2096721311475,46912.45,39085474.699999996,833.157822710176,0.2095005439364504,middle
06083,2018,217,764.9203225806451,11898.5,8737846.1,734.3653485733496,0.3199588589348337,uncompetitive
06085,2018,333,722.055945945946,104738.76190476191,79170573.10119048,755.8860889837482,0.1955587219764194,middle
06087,2018,175,797.4848571428572,2644.8571428571427,2272391.03,859.1734476612294,0.3311339189943681,uncompetitive
06089,2018,150,806.5132666666667,586.0,502584.45,857.6526450511946,0.3210979206049149,uncompetitive
06091,2018,135,818.4545185185185,16.0,13584.96,849.06,1.0,uncompetitive
06093,2018,151,802.9356291390728,917.0,738024.96,804.8254743729552,0.5828010593550397,uncompetitive
06095,2018,225,778.3570666666667,33444.97142857143,27679952.423714284,827.6267325517224,0.3454272982432741,uncompetitive
06097,2018,247,760.1131578947369,47825.0,35932044.14,751.3234530057501,0.2048322779061998,middle
06099,2018,274,743.754197080292,39139.0,26071063.49,666.1147063031758,0.0914766209877878,competitive
06101,2018,167,794.2408982035929,454.0,369678.41,814.2696255506607,0.186361078227794,middle
06103,2018,138,813.0642028985508,152.0,130390.31999999999,857.8310526315789,0.3899757617728532,uncompetitive
06105,2018,138,816.2499275362319,180.0,145419.94,807.8885555555555,0.4841358024691358,uncompetitive
06107,2018,245,746.8890612244899,10825.0,7810071.600000001,721.4846743648961,0.3037392995795105,uncompetitive
06109,2018,142,811.7962676056338,373.0,320702.49,859.7921983914209,0.2920526992934614,uncompetitive
06111,2018,306,728.8806535947713,49270.5,33017787.84,670.1329972295796,0.1465207011994124,competitive
06113,2018,203,788.5730049261084,13059.0,10113443.96,774.4424504173368,0.1116909463800181,competitive
06115,2018,164,794.5276219512195,854.0,663429.29,776.8492857142858,0.2347322696883106,uncompetitive
08001,2018,231,762.6718614718616,31536.7,21140321.08,670.3403044706643,0.1367912677596067,competitive
08003,2018,141,810.4819858156029,254.0,192291.62,757.0536220472441,0.3008049999782079,uncompetitive
08005,2018,253,757.0135177865614,40120.0,26994146.68,672.8351615154536,0.1339166242377765,competitive
08007,2018,140,813.7309285714285,319.0,251574.04,788.633354231975,0.1615927437641723,middle
08009,2018,135,815.790888888889,0.0,0.0,,,middle
08011,2018,136,815.3616911764706,0.0,0.0,,1.0,uncompetitive
08013,2018,219,772.9762557077624,18955.25,12655917.897499999,667.6734887432241,0.1345800712770395,competitive
08014,2018,183,786.2173770491803,4948.0,3333167.04,673.6392562651577,0.139060250337455,competitive
08015,2018,144,811.9751388888889,625.0,490755.54,785.208864,0.210814341704166,middle
08017,2018,134,817.4025373134328,0.0,0.0,,,middle
08019,2018,152,805.2305263157895,456.0,303768.86,666.1597807017544,0.1285508804598165,competitive
08021,2018,137,813.994306569343,243.0,182449.16,750.8195884773663,0.3234803310786757,uncompetitive
08023,2018,143,809.8321678321678,148.0,114184.76,771.5186486486487,0.2456030286641427,uncompetitive
08025,2018,137,816.6547445255475,74.0,56516.020000000004,763.73,1.0,uncompetitive
08027,2018,139,814.8903597122302,222.0,169689.24,764.3659459459459,0.4238831218762015,uncompetitive
