fips,year,plan_count
21199,2014,15
21201,2014,4
21203,2014,7
21205,2014,8
21207,2014,5
21209,2014,18
21211,2014,12
21213,2014,5
21215,2014,8
21217,2014,7
21219,2014,6
21221,2014,7
21223,2014,4
21225,2014,5
21227,2014,17
21229,2014,10
21231,2014,8
21233,2014,10
21235,2014,13
21237,2014,7
21239,2014,10
22001,2014,10
22003,2014,7
22005,2014,32
22007,2014,17
22009,2014,10
22011,2014,10
22013,2014,8
22015,2014,25
22017,2014,31
22019,2014,19
22021,2014,11
22023,2014,11
22025,2014,9
22027,2014,10
22029,2014,12
22031,2014,10
22033,2014,46
22035,2014,10
22037,2014,19
22039,2014,5
22041,2014,10
22043,2014,14
22045,2014,13
22047,2014,18
22049,2014,9
22051,2014,50
22053,2014,9
22055,2014,24
22057,2014,21
22059,2014,9
22061,2014,12
22063,2014,27
22065,2014,10
22067,2014,20
22069,2014,8
22071,2014,59
22073,2014,21
22075,2014,12
22077,2014,16
22079,2014,27
22081,2014,9
22083,2014,9
22085,2014,8
22087,2014,13
22089,2014,20
22091,2014,16
22093,2014,15
22095,2014,23
22097,2014,18
22099,2014,14
22101,2014,12
22103,2014,44
22105,2014,27
22107,2014,10
22109,2014,17
22111,2014,10
22113,2014,12
22115,2014,6
22117,2014,19
22119,2014,16
22121,2014,19
22123,2014,12
22125,2014,15
22127,2014,9
23001,2014,25
23003,2014,19
23005,2014,36
23007,2014,15
23009,2014,14
23011,2014,27
23013,2014,15
23015,2014,12
23017,2014,22
23019,2014,21
23021,2014,11
23023,2014,15
23025,2014,15
23027,2014,19
23029,2014,7
23031,2014,36
24001,2014,14
24003,2014,49
24005,2014,60
24009,2014,18
24011,2014,8
24013,2014,26
24015,2014,15
24017,2014,21
24019,2014,11
24021,2014,26
24023,2014,17
24025,2014,35
24027,2014,28
24029,2014,10
24031,2014,77
24033,2014,48
24035,2014,16
24037,2014,15
24039,2014,8
24041,2014,15
24043,2014,30
24045,2014,14
24047,2014,14
24510,2014,38
25001,2014,37
25003,2014,22
25005,2014,52
25007,2014,9
25009,2014,67
25011,2014,26
25013,2014,69
25015,2014,48
25017,2014,97
25019,2014,7
25021,2014,59
25023,2014,52
25025,2014,60
25027,2014,74
26001,2014,16
26003,2014,12
26005,2014,32
