fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,plan_count,ffs_cost,ffs_quartile,treated_competitive,control_uncompetitive,treated
06011,2018,254.0,34436.0,0.5337590675181351,328.0,3701.0,0.0886246960281005,395,,,0,1,0
06013,2018,93649.27272727272,2072836032.1652887,0.2363502855506679,92185.0,196478.0,0.4691873899367868,549,,,0,1,0
06015,2018,415.0,91081.0,0.5288488895340397,486.0,6264.0,0.0775862068965517,387,,,0,1,0
06019,2018,45121.0,175051275.0,0.085982060001601,44020.0,139474.0,0.315614379741027,533,,,1,0,1
06021,2018,177.0,21825.0,0.6966388968687159,226.0,5765.0,0.0392020815264527,391,,,0,1,0
06023,2018,1523.0,639313.0,0.2756219042745316,1640.0,29031.0,0.0564913368468189,401,,,0,1,0
06027,2018,86.0,3588.0,0.4851270957274202,146.0,4722.0,0.0309191020753917,380,,,0,1,0
06029,2018,49175.0,239816461.0,0.0991722696479713,42931.0,116697.0,0.367884350068982,550,,,1,0,1
06031,2018,3066.0,2569404.0,0.2733304993981079,2985.0,17242.0,0.1731237675443684,432,,,0,1,0
06033,2018,197.0,12087.0,0.3114483753768455,737.0,17917.0,0.0411341184350058,384,,,0,1,0
06035,2018,32.0,520.0,0.5078125,91.0,5311.0,0.0171342496704951,380,,,0,1,0
06037,2018,1474493.1428571427,169821710192.44897,0.0781101902735226,706231.0,1484288.0,0.4758045608399448,891,,,1,0,1
06041,2018,23137.0,222572763.0,0.4157745708536109,22915.0,58820.0,0.3895783747024821,442,,,0,1,0
06045,2018,1482.0,668628.0,0.3044304938615614,1866.0,23149.0,0.0806082336170029,394,,,0,1,0
06047,2018,3485.0,4764771.0,0.3923164041835371,3763.0,35987.0,0.1045655375552282,401,,,0,1,0
06049,2018,155.0,18397.0,0.7657440166493236,199.0,2613.0,0.0761576731725985,379,,,0,1,0
06053,2018,4065.0,4385381.0,0.2653910243899487,4241.0,64350.0,0.0659052059052059,403,,,0,1,0
06055,2018,10850.0,43364684.0,0.3683636008409607,10676.0,29895.0,0.3571165746780398,419,,,0,1,0
06057,2018,3671.0,5212303.0,0.3867772177716323,4269.0,29585.0,0.1442960959945918,408,,,0,1,0
06059,2018,252218.0,5221974524.0,0.0820885517363833,248024.0,497914.0,0.4981261824331109,765,,,1,0,1
06063,2018,298.0,35904.0,0.4043061123372821,454.0,6269.0,0.0724198436752273,399,,,0,1,0
06065,2018,213134.0,3576290574.0,0.078727657007947,205918.0,371194.0,0.5547449581620393,803,,,1,0,1
06067,2018,128929.0,2191450283.0,0.131834899952984,120918.0,255780.0,0.4727422003284072,581,,,1,0,1
06069,2018,564.0,119896.0,0.3769176600774609,798.0,8690.0,0.0918296892980437,406,,,0,1,0
06071,2018,178775.0,2626787171.0,0.0821885489786504,169836.0,295477.0,0.5747858547365785,724,,,1,0,1
06073,2018,249468.0,6127519688.0,0.0984589102703567,243946.0,522107.0,0.4672337279523162,798,,,1,0,1
06075,2018,59119.0,429827771.0,0.1229816492782818,58500.0,148493.0,0.3939579643484878,500,,,1,0,1
06077,2018,42754.0,254333688.0,0.1391394822726068,41641.0,110872.0,0.3755772422252688,503,,,1,0,1
06083,2018,12501.0,50001571.0,0.3199588589348337,12109.0,76083.0,0.159155133209784,473,,,0,1,0
06087,2018,2628.0,2286938.0,0.3311339189943681,3163.0,49866.0,0.0634299923795772,430,,,0,1,0
